Reactants,Products
CCC(=O)N(c1ccccc1)C1(COC)CCN(C(C)C(=O)c2ccccc2)CC1,CCC(=O)N(c1ccccc1)C1(COC)CCN(C(C)C(O)c2ccccc2)CC1
CCCCCCCC/C=C\CCCCCCCCOc1cc(C(=O)C(C(C)=O)C(=O)OC)co1,CCCCCCCC/C=C\CCCCCCCCOc1cc(C(=O)CC(=O)OC)co1
C=CCN1CCC2(CC1)c1ccccc1Sc1c(OC)cccc12,C=CCN1CCC2(CC1)c1ccccc1Sc1c(O)cccc12
CCN1CCC2(CC1)c1ccccc1Sc1c(OC)cccc12,CCN1CCC2(CC1)c1ccccc1Sc1c(O)cccc12
CC(C)CCCCC#CCO,CC(C)CCCCC#CC=O
CCOC(=O)C(CC(C)C)C(=O)OCC,CCOC(=O)C(CC(C)C)C(=O)O
CCCc1ccccc1OCCCCCCCOc1ccc2c(=O)cc(C(=O)OCC)oc2c1,CCCc1ccccc1OCCCCCCCOc1ccc2c(=O)cc(C(=O)O)oc2c1
CCCc1ccccc1OCCCOc1ccc2c(=O)cc(C(=O)OCC)oc2c1,CCCc1ccccc1OCCCOc1ccc2c(=O)cc(C(=O)O)oc2c1
CCCc1ccccc1OCCCOc1cccc(O/C(=C\C(=O)OC)C(=O)OC)c1CC,CCCc1ccccc1OCCCOc1cccc(O/C(=C\C(=O)O)C(=O)O)c1CC
CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)C(N)C2SC1.O=C(O)CC1=CSCCS1,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)C(NC(=O)CC3=CSCCS3)C2SC1
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(N)C2SC1.O=C(O)CC1=CSCCS1,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC3=CSCCS3)C2SC1
Nc1nc2n(n1)Cc1ccccc1-2,c1ccc2c(c1)Cn1ncnc1-2
Cc1cnc2c(c1)CCCC2C(N)=O,Cc1cnc2c(c1)CCCC2C#N
COC(=O)CCCCCCCc1ccc(C(OC)OC)o1,COC(=O)CCCCCCCC1CCC(C(OC)OC)O1
Cc1cnc2c(c1)CCCC2O,Cc1cnc2c(c1)CCCC2=O
CC(C)(C)OC(=O)NCC1=C(CC(=O)O)CC=CC1,CC(C)(C)OC(=O)NCC1=C(CC(=O)O)CCCC1
CC(C)(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1[N+](=O)[O-],CC(C)(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1N
C(=C/c1ncon1)\c1ccccc1,C(=C\c1ncon1)\c1ccccc1
CCCCC(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C(=O)OCC,CCCCC(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C(=O)O
CCOC(=O)N1c2cc(OC)c(OC)cc2C(=O)C(=CN)C1C,CCOC(=O)N1c2cc(OC)c(OC)cc2C(=O)CC1C
CCOC(=O)CCCCOc1ccc(C2=CCCCCCC2)cc1,CCOC(=O)CCCCOc1ccc(C2CCCCCCC2)cc1
CC(=O)c1c(O)cc(O)cc1O,CC(=O)c1ccccc1
CCCCCCCCC=CCCCCCCCCCCCCC,CCCCCCCCC=CCCCCCCCCCCC
CCCCCC(CCCC(CCCCCCC(=O)OC)(C(=O)OC)S(C)(=O)=O)OC(C)=O,CCCCCC(CCCC(CCCCCCC(=O)OC)S(C)(=O)=O)OC(C)=O
CCCCC(C)(C)C(C#CCC(CCCCCCC(=O)OC)(C(=O)OC)S(C)(=O)=O)OC(C)=O,CCCCC(C)(C)C(C#CCC(CCCCCCC(=O)OC)S(C)(=O)=O)OC(C)=O
CC(=O)C(CCCCCCC(=O)O)CCCC(O)COc1ccc(C(C)(C)C)cc1,CC(=O)C(CCCCCCC(=O)O)CCCC(O)COc1ccccc1
Cc1c(CCN2CCCCC2CC2CCCCC2)c2cc(OCc3ccccc3)ccc2n1C(=O)c1ccccc1,Cc1c(CCN2CCCCC2CC2CCCCC2)c2cc(O)ccc2n1C(=O)c1ccccc1
CCCCCCCC(O)CN(C)CCCCCCN(C)CC(O)CCCCCCC,CCCCCCCC(O)CNCCCCCCNCC(O)CCCCCCC
CCCCCCCCCCCCc1cc(C(=O)OCC)c(C)o1,CCCCCCCCCCCCc1cc(C(=O)O)c(C)o1
CCCc1oc(C)cc1C(=O)OCC,CCCc1oc(C)cc1C(=O)O
CCOC(=O)C(C)=CC=CC(C)=CCO,CCOC(=O)C(C)=CC=CC(C)=CC=O
CCc1ccc(O)cc1,C=Cc1ccc(O)cc1
CCCCCCC(O)C#CCCC(=O)CC(=O)OCC,CCCCCCC(O)C=CCCC(=O)CC(=O)OCC
CCCCCCCC/C=C\CCCCCCCC(CCCCC)S(=O)(=O)c1ccccc1,CCCCCCCC/C=C\CCCCCCCCS(=O)(=O)c1ccccc1
COc1ccc(OC)c2c1COC2=O,COc1ccc(OC)c2c1COC2O
CCCCCC(O)/C=C/c1ccccc1CCCCCCC(=O)OC,CCCCCC(O)/C=C/c1ccccc1CCCCCCC(=O)O
CCCCCC(C)(O)C=CC1C(C[N+](=O)[O-])CC2(OCCO2)C1CC=CCCCC(=O)O,CCCCCC(C)(O)C=CC1C(C[N+](=O)[O-])CC(=O)C1CC=CCCCC(=O)O
CCCCCC(O)(C=CC1C(C[N+](=O)[O-])CC2(OCCO2)C1CC=CCCCC(=O)O)c1ccccc1,CCCCCC(O)(C=CC1C(C[N+](=O)[O-])CC(=O)C1CC=CCCCC(=O)O)c1ccccc1
CCOC(=O)C(Cc1ccc(C(=O)C(C)(C)C)cc1)(Cc1ccc(C(=O)C(C)(C)C)cc1)C(=O)OCC,CCOC(=O)C(Cc1ccc(C(=O)C(C)(C)C)cc1)Cc1ccc(C(=O)C(C)(C)C)cc1
CC(C)NC1CCc2c(ccc(O)c2CO)C1=O,CC(C)NC1CCc2c(ccc(O)c2CO)C1O
CCCCCCCCCCCCCCCCCCN=C=O.Nc1ccc2nc3c4cccc5cccc(c(=O)n3c2c1)c54,CCCCCCCCCCCCCCCCCCNC(=O)Nc1ccc2nc3c4cccc5cccc(c(=O)n3c2c1)c54
COc1ccc2c(c1OC)CCC(NC(C)=O)C2=O,COc1ccc2c(c1OC)CCC(NC(C)=O)C2O
O=C(c1ccco1)N1CCCNCC1,O=C(C1CCCO1)N1CCCNCC1
CCOC(=O)C1C(C)(C)C12C=CC=C2,CCOC(=O)C1C(C)(C)C12CCCC2
CN1CCOC(CC23CC(c4ccccc42)c2ccccc23)C1=O,CN1CCOC(CC23CC(c4ccccc42)c2ccccc23)C1
CCCCCC(O)C=CC1CCC(CCCCCCCC(=O)OC)O1,CCCCCC(O)C=CC1CCC(CCCCCCCC(=O)O)O1
CCCCCC(O)CCC1CCC(CCCCCCCC(=O)OC)O1,CCCCCC(O)CCC1CCC(CCCCCCCC(=O)O)O1
CCCCCC(=O)CCC1CCC(CCCCCCCC(=O)OC)O1,CCCCCC(=O)CCC1CCC(CCCCCCCC(=O)O)O1
CNc1ccc(C(C)(C)c2ccc(C(C)(C)c3ccc(NC)cc3)cc2)cc1,CNC1CCC(C(C)(C)c2ccc(C(C)(C)C3CCC(NC)CC3)cc2)CC1
NC(=O)C1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2=O)CC1,NC(=O)C1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2O)CC1
N#CC1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2=O)CC1,N#CC1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2O)CC1
COC(=O)CCCCCCc1nc(C)sc1CO,COC(=O)CCCCCCc1nc(C)sc1C=O
CCCCCC(=O)/C=C/c1scnc1CCCCCCC(=O)OC,CCCCCC(=O)/C=C/c1scnc1CCCCCCC(=O)O
CCCCCC(=O)/C=C/c1sc(C)nc1CCCCCCC(=O)OC,CCCCCC(=O)/C=C/c1sc(C)nc1CCCCCCC(=O)O
CCCCCC(O)/C=C/c1scnc1CCCCCCC(=O)OC,CCCCCC(O)/C=C/c1scnc1CCCCCCC(=O)O
CCC(C)(C)c1ccc(OCCCCc2c(O)c(N=Nc3ccc(OC)cc3)c3ccccc3c2C(N)=O)c(C(C)(C)CC)c1,CCC(C)(C)c1ccc(OCCCCc2c(O)c(N)c3ccccc3c2C(N)=O)c(C(C)(C)CC)c1
CCCCCCCCCCCCCCCCCCOc1cc2ccccc2c(N=Nc2ccc(OC)cc2)c1O,CCCCCCCCCCCCCCCCCCOc1cc2ccccc2c(N)c1O
CCCCCCCCCCCCCCCCCCS(=O)c1cc2ccccc2cc1OC(C)=O,CCCCCCCCCCCCCCCCCCS(=O)c1cc2ccccc2cc1O
CCCCCCCCCCCCCCCCCCS(=O)(=O)c1cc2ccccc2cc1OC(C)=O,CCCCCCCCCCCCCCCCCCS(=O)(=O)c1cc2ccccc2cc1O
CCCCCCCCCCCCCCCCCCS(=O)(=O)c1cc2ccccc2c(N=Nc2ccc(OC)cc2)c1O,CCCCCCCCCCCCCCCCCCS(=O)(=O)c1cc2ccccc2c(N)c1O
CCN(C)CCCOc1ccccc1C1SCC(=O)N1CCc1ccc([N+](=O)[O-])cc1,CCN(C)CCCOc1ccccc1C1SCC(=O)N1CCc1ccc(N)cc1
CC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C2=NNC(=O)CC2)c1,CC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(-c2ccc(=O)[nH]n2)c1
CC(C)(C)NCC(O)COc1ccc(C(=O)O)cc1C1=NNC(=O)CC1,CC(C)(C)NCC(O)COc1ccc(C(=O)O)cc1-c1ccc(=O)[nH]n1
C=Cc1cnc(C)c(O)c1CO,C=Cc1cnc(C)c(O)c1C=O
CCCCCC(C)(O)CCCC(CCCCCCC(=O)OCC)C(N)=O,CCCCCC(C)(O)CCCC(CCCCCCC(=O)O)C(N)=O
CC1=CCC2CC1C2(C)C,CC1=CC=C(C(C)C)CC1
CCc1cc(=O)c2cc(C(C)CO)ccc2o1,CCC1CC(=O)c2cc(C(C)CO)ccc2O1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)OC)cc1.OCC(O)CO,CCCCCCCCCCCCCCCCNc1ccc(C(=O)OCC(O)CO)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1.OCC(O)CO,CCCCCCCCCCCCCCCCNc1ccc(C(=O)OCC(O)CO)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)OC2COC(c3ccccc3)OC2)cc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)OC(CO)CO)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1.OCC1CO1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)OCC(O)CO)cc1
CCCCCCCCCCCCCCOc1ccccc1C(=O)OC,CCCCCCCCCCCCCCOc1ccccc1C(=O)CC(C)=O
CC(C)=CCC/C(C)=C/CC/C(=C\CC/C(C)=C/CO)CO,CC(C)=CCC/C(C)=C\CC/C(=C\CC/C(C)=C/CO)CO
O=C1CCC=C1CCO,O=CCC1=CCCC1=O
CCOC(=O)C=C(C)C=CC=C(C)C=O,CCOC(=O)C=C(C)C=CC=C(C)CO
CCCCCc1ccc(-c2ncc(C(=O)OCC)c(O)n2)cc1,CCCCCc1ccc(-c2ncc(C(=O)OCC)cn2)cc1
O=C1CCCN1CC#CCN1CCCC1,O=C1CCCN1CC=CCN1CCCC1
CCCCCC(O)CCCC(CCCCCCC(=O)O)C(O)CCOC,CCCCCC(O)CCCC(CCCCCCC(=O)O)C(O)CCO
CCCCCC(O)CCCC(CCCCCCC(=O)OCC)C(=O)CO,CCCCCC(O)CCCC(CCCCCCC(=O)O)C(=O)CO
CCCCC(C)(C)C(CCCC(CCCCCCC(=O)OCC)(C(C)=O)C(=O)OC(C)(C)C)OC(C)=O,CCCCC(C)(C)C(CCCC(CCCCCCC(=O)OCC)C(C)=O)OC(C)=O
C=C(C)C1CCC(C)=C1CC(C)(C)C=O,C=C(C)C1CCC(C)=C1CC(C)(C)CO
COCC(CCOc1cccc2ccccc12)N(C)C=O,COCC(CCOc1cccc2ccccc12)N(C)C
c1ccccc1,c1ccc2ccccc2c1
COC(=O)N=C=S.Nc1cc(S(=O)c2ccccc2)ccc1[N+](=O)[O-],COC(=O)NC(=S)Nc1cc(S(=O)c2ccccc2)ccc1[N+](=O)[O-]
COC(=O)N=C=S.Nc1ccc(S(=O)c2ccccc2)cc1[N+](=O)[O-],COC(=O)NC(=S)Nc1ccc(S(=O)c2ccccc2)cc1[N+](=O)[O-]
COC(=O)NC(=S)Nc1ccc(S(=O)c2ccccc2)cc1[N+](=O)[O-],COC(=O)NC(=S)Nc1ccc(S(=O)c2ccccc2)cc1N
O=C(O)CCC/C=C\CC1C=CCCC1O,O=C(O)CCC/C=C\CC1C=CCCC1=O
CCOC(=O)C(=O)c1ccc(C2CCCCC2)c(SC(C)=O)c1,CCOC(=O)C(=O)c1ccc(C2CCCCC2)c(SC)c1
CCn1c(C)c(C2=CC(c3c(C)n(CC)c4ccccc34)C(=O)O2)c2ccccc21,CCn1c(C)c(C2=CC(c3c(C)n(CC)c4ccccc34)OC2=O)c2ccccc21
C#CC(O)c1ccccc1,C#CC(=O)c1ccccc1
CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O
CO[C@]12SCC(COC(C)=O)=C(C(=O)OCc3ccc([N+](=O)[O-])cc3)N1C(=O)C2N=[N+]=[N-],CO[C@]12SCC(COC(C)=O)=C(C(=O)OCc3ccc([N+](=O)[O-])cc3)N1C(=O)[C@H]2N
C=C(C)C(C(=O)OCc1ccccc1)N1C(=O)C2N=C(COc3ccccc3)SC21.O=O,CC(O)=C(C(=O)OCc1ccccc1)N1C(=O)C2N=C(COc3ccccc3)SC21
CC(C)(C)NCC(O)COc1cc(C2=NNC(=O)CC2)ccc1[N+](=O)[O-],CC(C)(C)NCC(O)COc1cc(C2=NNC(=O)CC2)ccc1N
CCCCC(C)(C)C(O)C=CC1CCC(O)C1C/C=C\CCCC(=O)[O-],CCCCC(C)(C)C(O)C=CC1CCC(O)C1C/C=C\CCCC(=O)O
COC(=O)CCCc1ccccc1CC1C(=O)CC(=O)C1=O,COC(=O)CCCc1ccccc1CC1C(=O)CC(O)C1=O
COC(=O)C1=C(OC)CCC1CO,COC(=O)C1=C(OC)CCC1C=O
COc1ccc(-c2oc3c(OC)cccc3c2C(C)=O)cc1,COc1ccc(-c2oc3c(OC)cccc3c2C(C)O)cc1
CCOC(=O)C1CC2C=CC1N(C(C)=O)C2Cc1ccccc1,CCOC(=O)C1CC2C3CC1N(C(C)=O)C2Cc1ccccc13
CCc1ccccc1O,C=Cc1ccccc1O
O=C(O)CCCCCCN1C(=O)CSC1/C=C/C(=O)CCc1ccccc1,O=C(O)CCCCCCN1C(=O)CSC1/C=C/C(O)CCc1ccccc1
CC(=O)Oc1cc(OC(C)=O)c2c(c1)OC(c1ccc(OC(C)=O)c(OC(C)=O)c1)CC2=O,CC(=O)Oc1cc(OC(C)=O)c2c(c1)OC(c1ccc(OC(C)=O)c(OC(C)=O)c1)CC2
C=CC(C)(O)CC/C=C(/C)CCC=C(C)C,C=CC(C)(O)CC/C=C(\C)CCC=C(C)C
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
CC1(C)OCc2c1nc1ccccc1c2NCCCN1CCCC1=O,CC1(C)OCc2c1nc1ccccc1c2NCCCN1CCCC1
CCCCCCCCCCCCCCCCS(=O)(=O)Nc1cc(OC)c(NC(C)=O)cc1OC,CCCCCCCCCCCCCCCCS(=O)(=O)Nc1cc(OC)c(N)cc1OC
CCCCCCCCCCCCOc1cc([N+](=O)[O-])c(OCCCCCCCCCCCC)cc1NC(C)=O,CCCCCCCCCCCCOc1cc([N+](=O)[O-])c(OCCCCCCCCCCCC)cc1N
C=C(C)C(C(=O)OCc1ccc([N+](=O)[O-])cc1)N1C(=O)C(NC(=O)COc2ccccc2)C1SS(=O)(=O)c1ccc(C)cc1.O=S([O-])O,C/C(O)=C(/C(=O)OCc1ccc([N+](=O)[O-])cc1)N1C(=O)C(NC(=O)COc2ccccc2)C1SS(=O)(=O)c1ccc(C)cc1
CCCCCCCC(CCCN(CCCc1ccc(C(=O)OCC)cc1)S(C)(=O)=O)OC(C)=O,CCCCCCCC(O)CCCN(CCCc1ccc(C(=O)O)cc1)S(C)(=O)=O
Cc1c(C)c2c(c(C)c1OCc1ccccc1)CC[C@@](C)(CO)O2,Cc1c(C)c2c(c(C)c1OCc1ccccc1)CC[C@@](C)(C=O)O2
CCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)OCC,CCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)O
CCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)OCC,CCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)O
CCCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)OCC,CCCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)O
CCCCCCCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)OCC,CCCCCCCCCCC(Oc1ccc(C2=CCCCCCC2)cc1)C(=O)O
CCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)OCC,CCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)O
CCCCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)OCC,CCCCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)O
CCCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)OCC,CCCCCCCCC(Oc1ccc(C2=CCCCC2)cc1)C(=O)O
CCCCCCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)OCC,CCCCCCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)O
CCCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)OCC,CCCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)O
CCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)OCC,CCCCCC(Oc1ccc(C2=CCCCCC2)cc1)C(=O)O
CCOC(=O)c1cc(CC)sc1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CCOC(=O)c1cc(CC)sc1Nc1ccc([N+](=O)[O-])cc1N
O=C(O)Cc1ccc(N2C(=O)C3CCCCC3C2=O)cc1,O=C(O)Cc1ccc(N2C(=O)C3CCCCC3C2O)cc1
CCCCc1oc2ccccc2c1S(=O)(=O)c1ccc(OC)cc1,CCCCc1oc2ccccc2c1S(=O)(=O)c1ccc(O)cc1
COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(CC1CC1)CC3O,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(CC(C)C)CC3O
CCCCCCCCCCCCC(Oc1ccc(NS(=O)(=O)CCCC)cc1)C(=O)OCC,CCCCCCCCCCCCC(Oc1ccc(NS(=O)(=O)CCCC)cc1)C(=O)O
CCC(C(=O)O)c1cccc(C(=O)c2cc3cc(C(=O)O)sc3s2)c1,CCC(C(=O)O)c1cccc(C(=O)c2cc3ccsc3s2)c1
CCc1cc([N+](=O)[O-])c(NC(CC)CC)c([N+](=O)[O-])c1COC,CCc1cc([N+](=O)[O-])c(NC(CC)CC)c([N+](=O)[O-])c1C
CCc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1COC,CCc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1C
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(Cc4ccc(NC(C)=O)cc4)CC3)nc21,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(Cc4ccc(N)cc4)CC3)nc21
COC(=O)C(Oc1ccc(C(C)(C)C)cc1)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,COC(=O)C(Oc1ccc(C(C)(C)C)cc1)c1ccc(Oc2ccc(N)cc2)cc1
C#CC1(O)c2cc(OC)ccc2CC(N(C)S(=O)(=O)c2ccc(C)cc2)C1(C)C,C=CC1(O)c2cc(OC)ccc2CC(N(C)S(=O)(=O)c2ccc(C)cc2)C1(C)C
COc1ccc(C=C2CS(=O)(=O)CC(=Cc3ccc(OC)cc3)C2(O)NC2=NCCS2)cc1,COc1ccc(C=C2CS(=O)(=O)CC3=C2N=C2SCCN2C3c2ccc(OC)cc2)cc1
COc1ccccc1N1CCN(CC2CCc3ccccc3C2=O)CC1,COc1ccccc1N1CCN(CC2CCc3ccccc3C2O)CC1
COc1ccccc1N1CCN(CC2CCc3ccccc3C2O)CC1,COc1ccccc1N1CCN(CC2=Cc3ccccc3CC2)CC1
CC#Cn1ccc(=O)c2c3cc(C)oc3c(=O)cc(C(=O)OCC)c21,CC#Cn1ccc(=O)c2c3cc(C)oc3c(=O)cc(C(=O)O)c21
Cc1c2ccccc2cc2ccccc12,CC1c2ccccc2Cc2ccccc21
Cc1c2ccccc2c(C)c2ccccc12,CC1c2ccccc2C(C)c2ccccc21
CNCCc1ccccc1,CNCCC1C=CC=CC1
CN(C)CCc1ccccc1,CN(C)CCC1=CCC=CC1
CC(=O)OC1C=CC(O)C1,CC(=O)OC1C=CC(=O)C1
CCOC(=O)c1cc(=O)c2c(OCC(O)COc3cccc(O)c3C(=O)C=CN(C)C)cccc2o1,CCOC(=O)c1cc(=O)c2c(OCC(O)COc3cccc4occc(=O)c34)cccc2o1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1.NS(=O)(=O)c1ccccc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1.Cc1ccc(S(N)(=O)=O)cc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)N2CSCC2C(=O)OCC)cc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)N2CSCC2C(=O)O)cc1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)OC)cc1.NN,CCCCCCCCCCCCCCCCNc1ccc(C(=O)NN)cc1
CCCCCC(C)C(C)c1cc(O)c2c(c1)OC(C)(C)C1=C2CN(CC(=O)OCC)CC1,CCCCCC(C)C(C)c1cc(O)c2c(c1)OC(C)(C)C1=C2CN(CC(=O)O)CC1
COc1ccc(CCN(C)CCCN2C(=O)c3cc(OC)c(OC)cc3C(C)(C)C2=O)cc1OC,COc1ccc(CCN(C)CCCN2C(=O)c3cc(OC)c(OC)cc3C(C)(C)C2O)cc1OC
CCOC(C)(CC)CCCCC(C)=CCCO,CCOC(C)(CC)CCCCC(C)CCCO
CCC(C)(C)c1ccc(OCCCNC(=O)c2cc(OCCOc3ccc([N+](=O)[O-])cc3)c3ccccc3c2O)c(C(C)(C)CC)c1,CCC(C)(C)c1ccc(OCCCNC(=O)c2cc(OCCOc3ccc(N)cc3)c3ccccc3c2O)c(C(C)(C)CC)c1
CCCC=O,CCCC=C(C=O)CC
CCCCCCC1CC1C(=O)Oc1ccc(C(=O)CNC(C)(C)C)cc1OC(=O)C1CC1CCCCCC,CCCCCCC1CC1C(=O)Oc1ccc(C(O)CNC(C)(C)C)cc1OC(=O)C1CC1CCCCCC
CCCOc1cc(OCCC)cc(N2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)c1,CCCOc1cc(OCCC)cc(N2CCN(Cc3ccc(N)cc3)CC2)c1
CCCOCC(CCCC(CCCc1ccc(C(=O)OCC)cc1)(C(C)=O)C(=O)OC(C)(C)C)OC(C)=O,CCCOCC(CCCC(CCCc1ccc(C(=O)OCC)cc1)C(C)=O)OC(C)=O
C=C1C2CCC(=O)C23CCC(C3)C1(C)C,CC1=C2CCC(=O)C23CCC(C3)C1(C)C
C=C1C2CCC(C(=O)O)C23CCC(C3)C1(C)C,CC1=C2CCC(C(=O)O)C23CCC(C3)C1(C)C
C=CCOc1ccccc1C1C(C(=O)OCC)=C(C)NC(C(OCC)OCC)=C1C(=O)OCC,C=CCOc1ccccc1C1C(C(=O)OCC)=C(C)NC(C=O)=C1C(=O)OCC
C=CCOc1ccccc1C1C(C(=O)OCC)=C(C)NC(C=O)=C1C(=O)OCC,C=CCOc1ccccc1C1C(C(=O)OCC)=C(C)NC(CO)=C1C(=O)OCC
CC1CC(C)(C)NCN1,CC1CC(C)(C)NC=N1
CCCCC(C)(C)CN,CCCCC(C)(C)C#N
CCCCCCC(C)(C)c1ccc(C2CN(Cc3ccccc3)CCC2(O)CCCc2ccccc2)c(OCc2ccccc2)c1,CCCCCCC(C)(C)c1ccc(C2=C(CCCc3ccccc3)CCN(Cc3ccccc3)C2)c(OCc2ccccc2)c1
CCCCCCC(C)(C)c1ccc(C2CNCCC2(O)CCCc2ccccc2)c(O)c1,CCCCCCC(C)(C)c1ccc(C2=C(CCCc3ccccc3)CCNC2)c(O)c1
C/C(O)=C(/C(=O)OC(c1ccccc1)c1ccccc1)N1C(=O)C(NC(=O)COc2ccccc2)C1SSc1nc2ccccc2s1.C=[N+]=[N-],C=C(C)C(C(=O)OC(c1ccccc1)c1ccccc1)N1C(=O)C(NC(=O)COc2ccccc2)C1SSc1nc2ccccc2s1
COc1ccc2c(c1)CCC(CN1CCN(C(c3ccccc3)c3ccccc3)CC1)C2=O,COc1ccc2c(c1)CCC(CN1CCN(C(c3ccccc3)c3ccccc3)CC1)C2O
CCc1oc2ccc(C(C)C(=O)OC)cc2c(=O)c1C,CCC1Oc2ccc(C(C)C(=O)OC)cc2C(=O)C1C
CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCCCCCC(=O)O
CCCCCCC(C)(C)c1cc(OC(C)=O)c2c(c1)OC(C)(C)C1CC=C(N(C(C)=O)C(C)=O)CC21,CCCCCCC(C)(C)c1cc(OC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CC=C(N(C(C)=O)C(C)=O)C[C@@H]21
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(NC(C)=O)CC21,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(NC(C)=O)CC21
CCCCCCCCCCCCCCCCNc1ccc(C(=O)C(C(=O)OCC)C(=O)OC(C)(C)C)cc1,CCCCCCCCCCCCCCCCNc1ccc(C(=O)CC(=O)OCC)cc1
CCCCCCCCCCCCN=Cc1ccccc1,CCCCCCCCCCCCNCc1ccccc1
Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c([N+](=O)[O-])c1,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c(N)c1
COc1ccc(OCCCN2CCOCC2)c(C=NCCc2ccccc2)c1,COc1ccc(OCCCN2CCOCC2)c(CNCCc2ccccc2)c1
CCCc1cc(CCC)cc(N2CCN(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)CC2)c1,CCCc1cc(CCC)cc(N2CCN(S(=O)(=O)c3ccc(N)cc3)CC2)c1
